Session Num,Phrase Num,Selection Num,Click Num,Task,Phrase Text,Typed Text,Target,Selection,Clock Period (s),Click Time Relative (s),Click Time Absolute (s),Dead Time (s)
2,1.0,7.0,4,picture,make again bumpy i what ,away again bumpy i what ..,.,.,5.429,0.2725,1639507184.669,2.9670000076293945
2,2.0,1.0,1,picture,now what read this is ,now ,now,16,5.429,0.035,1639507189.271,4.601999998092651
2,2.0,1.0,2,picture,now what read this is ,now ,now,16,5.429,0.033,1639507191.989,2.7180001735687256
2,2.0,1.0,3,picture,now what read this is ,now ,now,16,5.429,-0.0359,1639507194.64,2.6510000228881836
2,2.0,2.0,1,picture,now what read this is ,now what ,what,13,5.429,-0.1028,1639507198.493,3.8529999256134033
2,2.0,2.0,2,picture,now what read this is ,now what ,what,13,5.429,-0.0139,1639507202.422,3.928999900817871
2,2.0,2.0,3,picture,now what read this is ,now what ,what,13,5.429,0.006,1639507205.122,2.700000047683716
2,2.0,3.0,1,picture,now what read this is ,now what read ,read,65,5.429,0.012,1639507214.608,9.486000061035156
2,2.0,3.0,2,picture,now what read this is ,now what read ,read,65,5.429,0.1068,1639507217.423,2.815000057220459
2,2.0,3.0,3,picture,now what read this is ,now what read ,read,65,5.429,0.1218,1639507220.238,2.81499981880188
2,2.0,4.0,1,picture,now what read this is ,now what read this ,this,17,5.429,-0.0628,1639507223.493,3.255000114440918
2,2.0,4.0,2,picture,now what read this is ,now what read this ,this,17,5.429,-0.1666,1639507224.39,0.8970000743865967
2,2.0,4.0,3,picture,now what read this is ,now what read this ,this,17,5.429,0.1707,1639507227.247,2.8569998741149902
2,2.0,5.0,1,picture,now what read this is ,now what read this is ,is,22,5.429,0.0489,1639507232.206,4.959000110626221
2,2.0,5.0,2,picture,now what read this is ,now what read this is ,is,22,5.429,0.034,1639507234.95,2.74399995803833
2,2.0,5.0,3,picture,now what read this is ,now what read this is ,is,22,5.429,0.003,1639507237.639,2.688999891281128
2,2.0,6.0,1,picture,now what read this is ,now what read this is .,.,.,5.429,0.1528,1639507240.869,3.2300000190734863
2,2.0,6.0,2,picture,now what read this is ,now what read this is .,.,.,5.429,-0.2444,1639507241.671,0.8020000457763672
2,2.0,6.0,3,picture,now what read this is ,now what read this is .,.,.,5.429,0.0559,1639507244.413,2.742000102996826
2,2.0,7.0,1,picture,now what read this is ,now what read this is ..,.,.,5.429,0.2435,1639507247.72,3.306999921798706
2,2.0,7.0,2,picture,now what read this is ,now what read this is ..,.,.,5.429,-0.2145,1639507249.222,1.501999855041504
2,2.0,7.0,3,picture,now what read this is ,now what read this is ..,.,.,5.429,0.4162,1639507252.333,3.1110000610351562
2,2.0,7.0,4,picture,now what read this is ,now what read this is ..,.,.,5.429,-0.1646,1639507254.871,2.5380001068115234
2,3.0,1.0,1,picture,is bumpy sick sad play ,is ,is,22,5.429,0.0878,1639507259.845,4.973999977111816
2,3.0,1.0,2,picture,is bumpy sick sad play ,is ,is,22,5.429,0.4471,1639507263.005,3.1600000858306885
2,3.0,1.0,3,picture,is bumpy sick sad play ,is ,is,22,5.429,0.7245,1639507263.522,0.5169999599456787
2,3.0,1.0,4,picture,is bumpy sick sad play ,is ,is,22,5.429,0.0858,1639507268.843,5.32099986076355
2,3.0,1.0,5,picture,is bumpy sick sad play ,is ,is,22,5.429,0.0978,1639507271.655,2.812000036239624
2,3.0,2.0,1,picture,is bumpy sick sad play ,is put ,bumpy,42,5.429,1.6527,1639507275.854,4.199000120162964
2,3.0,2.0,2,picture,is bumpy sick sad play ,is put ,bumpy,42,5.429,0.019,1639507276.455,0.6009998321533203
2,3.0,2.0,3,picture,is bumpy sick sad play ,is put ,bumpy,42,5.429,-1.0608,1639507277.094,0.6390001773834229
2,3.0,2.0,4,picture,is bumpy sick sad play ,is put ,bumpy,42,5.429,0.6737,1639507277.871,0.7769999504089355
